Platforms,Format,Status,Date,Name,Clip/file URL,Caption,1st Comment
YouTube,,Posted,,I hated reading until I was 16,https://share.descript.com/view/erHYZlf8Yzm,,
"Facebook, LinkedIn, YouTube",Long clip,Posted,10/08/2024,How to Balance Freedom and Future Prep? [05:00],https://share.descript.com/view/zYgIgLTLGKP,,
"Facebook, LinkedIn, YouTube",Long clip,Posted,,My kid is obsessed with one topic,https://share.descript.com/view/KEceKr2nMow,,
"Facebook, Instagram, LinkedIn, X","Carousel, Image/Graphic",Draft,,"Traditional education prepares for a known past.
Open education prepares for an unknown future.
Which will you choose for your child?
",,,
"Facebook, Instagram, LinkedIn, X","Carousel, Image/Graphic",Draft,,"Myth: Homeschooling limits college options.
Reality: Many top universities, including Harvard, now have specific homeschool admission pathways.",,,
"Facebook, Instagram, LinkedIn, X",,Draft,,How to nurture a lifelong learner,,,
"Newsletter, YouTube",Long clip,Posted,,What If I Don't Feel Qualified to Teach? [44:00],https://share.descript.com/view/pADZeYruBzs,"""I'm not qualified to teach my child.""

Translation: You're more qualified than you think. Your job is to curate experiences, not lecture.",
"Podcast, YouTube",Full Episode,Posted,10/03/2024,Episode 011 - Matt & Isaac Q&A episode: Relax. Trust the process.,,,
"Newsletter, YouTube",Long clip,Posted,,"
10:00 How to assess learning without grades?",https://share.descript.com/view/ym0GXU0dyMg,,
"Facebook, Newsletter, YouTube",Long clip,Posted,,How Should We Approach Screen Time? [14:00],https://share.descript.com/view/epOj9AAhM09,,
"Facebook, Instagram, Newsletter",Short clip (reels/short),Posted,,"Love Limits, Latitude",https://share.descript.com/view/h0BBeGYlPVp,,
"Facebook, Newsletter, YouTube",Long clip,Posted,,Can Homeschoolers Go to College? [40:00],https://share.descript.com/view/q9nhJ4pm5RM,,
