Reimbursement Guide 					Type 	Keywords	Search Volume
URL	opened.co/blog/reimbursement If we want to include this in navigation it can also live: opened.com/reimbursement	lower-case			Primary 	opened reimbursement	0-10
Meta Title	OpenEd Reimbursement Guide | OpenEd	Title Case	(60 characters max)		Secondary	my tech high reimbursement	0-10
Headline (H1)	OpenEd Reimbursement Guide	Title Case	20 - 100 characters (can get creative with H1)		Secondary	my tech high reimbursement list	0-10
Notes	Article should contain the following sections:  <h2> Types of OpenEd Reimbursement <h2> How to Submit a Request for Reimbursement <h2> OpenEd Reimbursement List PDF [if applicable] <h2> Reimbursement FAQs   Include additional sections/visual throughout to further explain and answer common questions about the reimbursement process.  Rec word count: 500-1000  Careful phrasing: "items like" 						
							
							
							
How to Homeschool 					Type 	Keywords	Search Volume
URL	opened.co/blog/how-to-homeschool	lower-case			Primary 	how to homeschool	2600
Meta Title	How to Homeschool: Prepping and Starting Homeschooling | OpenEd	Title Case	(60 characters max)		Secondary	how to homeschool your kids	1000
Headline (H1)	How to Homeschool: Prepping and Starting Homeschooling Your Children	Title Case	20 - 100 characters (can get creative with H1)		Secondary	how much does it cost to homeschool	300
Notes	Article should contain the following sections:  <h2> Is Homeschooling Right for You? <h2> What to Consider When Starting Homeschooling <h2> Homeschooling Costs and Reimbursements <h2> How to Homeschool in Your State <h3> How to Homeschool in [State]* <h2> How to Homeschool FAQs  Include additional sections/visual/podcasts throughout to further explain and answer common questions about homeschooling. This article should be written in an unbiased, informative tone while nudging the reader towards OpenEd services. Future OpenEd-state specific content can be more salesy.  Rec word count: 1000-1500   *Ideally we include the largest search volume states: CA, TX, FL, NY, NC, PA and the states OpenEd is offered. We will build out individual pages for OpenEd states. 						
							
							
							
Math Curriculum					Type 	Keywords	Search Volume
URL	opened.co/blog/homeschool-math-curriculum	lower-case			Primary 	homeschool math curriculum	2200
Meta Title	Best Homeschool Math Curriculum | OpenEd	Title Case	(60 characters max)		Secondary	best homeschool math curriculum	450
Headline (H1)	Best Homeschool Math Curriculum for Your Students	Title Case	20 - 100 characters (can get creative with H1)		Secondary	free homeschool math curriculum	150
Notes	Article should contain the following sections:  <h2> Understanding Homeschool Math Curriculum <h2> [Level] Homeschool Curriculum* <h2> Homeschool [Type] Curriculum** <h2> Free Homeschool Math Curriculum <h2> Tips for Homeschooling Math   Include links to actual tools/curriculum OpenEd partners with and industry resources. The goal of this piece is to be as helpful as possible to anyone looking for math curriculum. It's OK to mention competitors.  Rec word count: 2000+  *Add grade levels: kindergarten, elementary, middle, high  **Add relevant types such as algebra   				Secondary	homeschool algebra curriculum	20
							
							
							
Science Curriculum					Type 	Keywords	Search Volume
URL	opened.co/blog/homeschool-science-curriculum	lower-case			Primary 	homeschool science curriculum	1500
Meta Title	Best Homeschool Science Curriculum | OpenEd	Title Case	(60 characters max)		Secondary	best homeschool science curriculum	250
Headline (H1)	Best Homeschool Science Curriculum for Your Students	Title Case	20 - 100 characters (can get creative with H1)		Secondary	best homeschool science curriculum elementary `	50
Notes	Article should contain the following sections:  <h2> Understanding Homeschool Science Curriculum <h2> [Level] Homeschool Curriculum* <h2> Homeschool [Type] Curriculum** <h2> Free Homeschool Science Curriculum <h2> Tips for Homeschooling Science   Include links to actual tools/curriculum OpenEd partners with and industry resources. The goal of this piece is to be as helpful as possible to anyone looking for science curriculum. It's OK to mention competitors.  Rec word count: 2000+  *Add grade levels: kindergarten, elementary, middle, high  **Add relevant types such as hands on, physical science, etc.   				Tertiary 	hands on science curriculum	150
					Tertiary 	physical science homeschool curriculum	100
							
							
Best Curriculum					Type 	Keywords	Search Volume
URL	opened.co/blog/best-homeschool-curriculum	lower-case			Primary 	best homeschool curriculum	2900
Meta Title	Best Homeschool Curriculum | OpenEd	Title Case	(60 characters max)		Secondary	best homeschool math curriculum	500
Headline (H1)	Best Homeschool Curriculum for Your Students	Title Case	20 - 100 characters (can get creative with H1)		Secondary	best online homeschool curriculum	300
Notes	Article should contain the following sections:  <h2> What We Look For in Homeschool Curriculum <h2> Best Online Homeschool Curriculum  <h2> Best [Level] Homeschool Curriculum* <h2> Best Homeschool [Subject] Curriculum** <h2> Best Free Homeschool Curriculum   Include links to actual tools/curriculum OpenEd partners with and industry resources. The goal of this piece is to be as helpful as possible to anyone looking for curriculum. It's OK to mention competitors.  Rec word count: 2000+  *Add grade levels: kindergarten, elementary, middle, high  **Add relevant subject such as match, science, etc.   				Secondary	best kindergarten homeschool curriculum	250
					Secondary	best homeschool science curriculum 	250
