Title,Description,Format,Paid or Free?,Subject(s),Website
Rosetta Stone,Immersive language learning software,Tools/Software,Paid,Foreign Language,https://www.rosettastone.com
Institute for Excellence in Writing,Systematic writing instruction program with structured approach,Curriculum,Paid,Language Arts,https://iew.com
All About Reading,Orton-Gillingham based reading program with multisensory approach,Curriculum,Paid,Language Arts,https://www.allaboutlearningpress.com
Teaching Textbooks,Computer-based math curriculum with automated grading,Online Platform,Paid,Math,https://www.teachingtextbooks.com
Math-U-See,Multi-sensory math program using manipulatives and video instruction,Curriculum,Paid,Math,https://www.mathusee.com
Life of Fred,Story-based math program that teaches concepts through narratives,Workbooks/Textbooks,Paid,Math,https://www.lifeoffred.com
Mystery Science,Video-based science curriculum with hands-on activities,"Online Platform, Video Content",Freemium,Science,https://mysteryscience.com
Story of the World,Narrative-based world history curriculum,"Audio, Curriculum",Paid,History/Social Studies,https://welltrainedmind.com
Saxon Math,Systematic math curriculum with incremental development and continuous review,Curriculum,Paid,Math,https://www.hmhco.com/saxon-math
Duolingo,Gamified language learning platform,Interactive/Games,Freemium,Foreign Language,https://www.duolingo.com
Beast Academy,"Engaging, comic-style advanced math program for grades 2-5","Curriculum, Interactive",Paid,Math,https://beastacademy.com
The Good and the Beautiful,Comprehensive language arts and literature program with integrated arts and values,Curriculum,Paid,"Arts & Music, Language Arts",https://www.goodandbeautiful.com
Singapore Math,Conceptual math program based on Singapore's successful method,Curriculum,Paid,Math,https://www.singaporemath.com
Apologia,Creation-based science curriculum with thorough explanations,Curriculum,Paid,Science,https://www.apologia.com
WriteShop,Incremental writing program with structured lessons,Curriculum,Paid,Language Arts,https://writeshop.com
Reading Eggs,Online reading program with interactive lessons,Online Platform,Paid,Language Arts,https://readingeggs.com
Logic of English,Comprehensive language arts program based on phonograms,Curriculum,Paid,Language Arts,https://www.logicofenglish.com
Easy Grammar,Systematic grammar instruction program,Workbooks/Textbooks,Paid,Language Arts,https://www.easygrammar.com
BookShark,Literature-based complete curriculum,Curriculum,Paid,"History/Social Studies, Language Arts",https://www.bookshark.com
Generation Genius,Science videos and activities aligned with standards,Video Content,Paid,Science,https://www.generationgenius.com
KiwiCo,STEM project boxes with hands-on activities,Project Kits,Paid,Technology/STEM,https://www.kiwico.com
Beautiful Feet Books,Literature-based history curriculum,Curriculum,Paid,History/Social Studies,https://bfbooks.com
Hoffman Academy,Online piano lessons with comprehensive music education,"Live Classes, Video Content",Freemium,Arts & Music,https://www.hoffmanacademy.com
Tuttle Twins,Economics and civics curriculum for children,Curriculum,Paid,Life Skills/Business,https://tuttletwins.com
IEW (Institute for Excellence in Writing),Systematic writing instruction program with structured approach,Curriculum,Paid,Language Arts,https://iew.com
Explode the Code,Systematic phonics workbook series,Workbooks/Textbooks,Paid,Language Arts,https://www.explodethecode.com
Prodigy Math,Game-based math practice platform,Interactive/Games,Freemium,Math,https://www.prodigygame.com
CTC Math,Online math tutorials and practice with video lessons,Online Platform,Paid,Math,https://ctcmath.com
Artistic Pursuits,Art curriculum with technique instruction and art history,Curriculum,Paid,Arts & Music,https://www.artisticpursuits.com
Brave Writer,"Natural, creative approach to writing and language arts","Curriculum, Live Classes",Paid,Language Arts,https://bravewriter.com
http://code.org/,Computer science education platform with interactive coding lessons,Online Platform,Free,Technology/STEM,https://code.org
Abeka,Traditional Christian complete curriculum,Curriculum,Paid,All-in-One/Comprehensive,https://www.abeka.com
Math Mammoth,Complete math curriculum with clear explanations,Curriculum,Paid,Math,https://www.mathmammoth.com
Time4Learning,Complete online curriculum platform,Online Platform,Paid,All-in-One/Comprehensive,https://www.time4learning.com
Masterbooks,Creation-based complete curriculum,Curriculum,Paid,All-in-One/Comprehensive,https://www.masterbooks.com
IXL,Online practice platform for multiple subjects,Online Platform,Paid,"Language Arts, Math",https://www.ixl.com
BJU Press,Christian complete curriculum with digital options,Curriculum,Paid,All-in-One/Comprehensive,https://www.bjupresshomeschool.com
Classical Conversations,Classical education community and curriculum,"Curriculum, Live Classes",Paid,All-in-One/Comprehensive,https://www.classicalconversations.com
Handwriting Without Tears,Developmental handwriting instruction program,Curriculum,Paid,Language Arts,https://www.lwtears.com
Noeo Science,Literature-based science curriculum,Curriculum,Paid,Science,https://noeoscience.com
Dimensions Math,Updated Singapore Math curriculum with modern presentation,Curriculum,Paid,Math,https://www.singaporemath.com/dimensions-math
Spelling You See,Natural approach to spelling instruction,Curriculum,Paid,Language Arts,https://spelling-you-see.com
Math Seeds,Early mathematics learning program,Online Platform,Paid,Math,https://mathseeds.com
Nicole the Math Lady,Video instruction companion for Saxon Math,Video Content,Paid,Math,https://nicolethemathlady.com
Elemental Science,Classical science curriculum with experiments,Curriculum,Paid,Science,https://elementalscience.com
First Language Lessons,Classical approach to grammar instruction,Curriculum,Paid,Language Arts,https://welltrainedmind.com
Horizons Math,Spiral-based math program with colorful workbooks,Curriculum,Paid,Math,https://www.aop.com/curriculum/shop-horizons/horizons-math
MEL Science,Subscription-based science kits with VR content,Project Kits,Paid,Science,https://melscience.com
Wordly Wise,Systematic vocabulary development program,Curriculum,Paid,Language Arts,https://www.wordlywise3000.com
RightStart Math,Math program using manipulatives and AL Abacus approach,Curriculum,Paid,Math,https://rightstartmath.com
Writing With Ease,Step-by-step writing instruction program,Curriculum,Paid,Language Arts,https://welltrainedmind.com
Barton Reading,Orton-Gillingham based reading intervention program,Curriculum,Paid,Language Arts,https://bartonreading.com
Alpha Omega,Christian complete curriculum with digital options,Curriculum,Paid,All-in-One/Comprehensive,https://www.aop.com
Study Island,Standards-based learning and practice platform,Online Platform,Paid,"Language Arts, Math",https://www.studyisland.com
Sonlight,Literature-based Christian curriculum,Curriculum,Paid,All-in-One/Comprehensive,https://www.sonlight.com
Shurley English,Systematic grammar and writing program,Curriculum,Paid,Language Arts,https://www.shurley.com
Khan Academy,Comprehensive video instruction and practice,Online Platform,Free,"Math, Science, Technology/STEM",https://www.khanacademy.org
Easy Peasy All-in-One,Free Christian complete curriculum,Online Platform,Free,All-in-One/Comprehensive,https://allinonehomeschool.com
ALEKS Math,Adaptive math learning system,Online Platform,Paid,Math,https://www.aleks.com
Lexia Core5,Research-based reading program,Online Platform,Paid,Language Arts,https://www.lexialearning.com
Power Homeschool,Online complete curriculum platform,Online Platform,Paid,All-in-One/Comprehensive,https://powerhomeschool.com
Let's Play Music,Early childhood music education program,Live Classes,Paid,Arts & Music,https://letsplaymusicsite.com
Osmo,Interactive learning system combining physical objects with iPad,Interactive/Games,Paid,Technology/STEM,https://www.playosmo.com
Rod and Staff,Traditional Christian curriculum,Curriculum,Paid,All-in-One/Comprehensive,https://www.milestonebooks.com
Well Educated Heart,Literature and character-based education resources,Curriculum,Paid,"History/Social Studies, Language Arts",https://welleducatedheart.com
Real Science Odyssey,Hands-on science curriculum with experiments,Curriculum,Paid,Science,https://www.pandiapress.com/real-science-odyssey
BrainPOP,Educational videos across all subjects,Video Content,Paid,All-in-One/Comprehensive,https://www.brainpop.com
LEMI Scholar Projects,Leadership education mentoring programs,Live Classes,Paid,Life Skills/Business,https://lemischolar.org
Moving Beyond the Page,Literature-based complete curriculum,Curriculum,Paid,All-in-One/Comprehensive,https://www.movingbeyondthepage.com
Build Your Library,Literature-based secular curriculum,Curriculum,Paid,"History/Social Studies, Language Arts",https://buildyourlibrary.com
123 Homeschool 4 Me,Free printable worksheets and educational resources,,Free,All-in-One/Comprehensive,https://www.123homeschool4me.com
826 Digital,Writing prompts and activities for creative writing,Interactive,Free,Language Arts,https://826digital.com
ACS Chemistry for Life,Middle school chemistry curriculum from American Chemical Society,Curriculum,Free,Science,https://www.middleschoolchemistry.com
Bedtime Math,Daily math problems and activities for family engagement,,Free,Math,http://bedtimemath.org
Big History Project,Interdisciplinary history course exploring universe to present,Curriculum,Free,History/Social Studies,https://school.bighistoryproject.com
Big Think,Expert interviews across various academic fields,Video Content,Free,All-in-One/Comprehensive,https://www.youtube.com/user/bigthink
Chrome Music Lab,Interactive music and science experiments,Interactive,Free,"Arts & Music, Science",https://musiclab.chromeexperiments.com
CK-12 Foundation,Free STEM education resources and textbooks,Curriculum,Free,"Math, Science",https://www.ck12.org
Crash Course,Educational videos across multiple subjects,Video Content,Free,All-in-One/Comprehensive,https://www.youtube.com/user/crashcourse
